┌─────────────┬────────────────┬──────────────┬─────────┬─────────┬─────────┬─────────┐
│ nearest_NtC │ (NtC = 'NANT') │ count_star() │   r2    │   r5    │   r7    │   r10   │
│   varchar   │    boolean     │    int64     │ int128  │ int128  │ int128  │ int128  │
├─────────────┼────────────────┼──────────────┼─────────┼─────────┼─────────┼─────────┤
│ AA00        │ false          │      2880801 │ 1082672 │ 2840029 │ 2880600 │ 2880801 │
│ AA00        │ true           │        22414 │      28 │    5781 │   10922 │   21239 │
│ AA01        │ false          │       290652 │   65862 │  281540 │  290435 │  290652 │
│ AA01        │ true           │        52965 │      20 │   13456 │   34396 │   46567 │
│ AA02        │ false          │        25176 │    1675 │   22093 │   25046 │   25176 │
│ AA02        │ true           │        13460 │       3 │    3456 │    8923 │   12077 │
│ AA03        │ false          │        67976 │   13539 │   64706 │   67912 │   67976 │
│ AA03        │ true           │        36672 │     175 │   15073 │   29442 │   34840 │
│ AA04        │ false          │       196233 │   18318 │  143222 │  188829 │  196232 │
│ AA04        │ true           │        80302 │       7 │   14290 │   38376 │   70896 │
│ AA05        │ false          │        61008 │    5326 │   52538 │   60555 │   61008 │
│ AA05        │ true           │        44973 │       4 │    9814 │   27160 │   38729 │
│ AA06        │ false          │        87112 │    8649 │   79131 │   86630 │   87112 │
│ AA06        │ true           │        43785 │       0 │   16738 │   32250 │   40840 │
│ AA07        │ false          │        22712 │    1015 │   15248 │   21023 │   22708 │
│ AA07        │ true           │        30524 │       0 │    2830 │   11235 │   24041 │
│ AA08        │ false          │      1253456 │  247061 │ 1126438 │ 1244869 │ 1253455 │
│ AA08        │ true           │        69786 │      10 │    8442 │   28836 │   63046 │
│ AA09        │ false          │        42467 │    7122 │   38918 │   42423 │   42467 │
│ AA09        │ true           │        13478 │       1 │    4010 │   10632 │   12927 │
│ AA10        │ false          │        64719 │    7635 │   57381 │   64375 │   64719 │
│ AA10        │ true           │       108001 │      45 │   27484 │   65368 │   95210 │
│ AA11        │ false          │        47708 │    2406 │   38840 │   47178 │   47707 │
│ AA11        │ true           │        61810 │       0 │    3357 │   20191 │   41733 │
│ AA12        │ false          │       100281 │   13323 │   84178 │   99779 │  100278 │
│ AA12        │ true           │        42455 │      14 │    4424 │   21867 │   36435 │
│ AA13        │ false          │        15698 │    1561 │   14545 │   15675 │   15698 │
│ AA13        │ true           │        21468 │       4 │    2331 │    7130 │   12986 │
│ AAS1        │ false          │        15057 │    1617 │   12779 │   14861 │   15057 │
│ AAS1        │ true           │        22766 │      33 │    5085 │   12140 │   20193 │
│ AB01        │ false          │        25119 │    1664 │   24244 │   25102 │   25119 │
│ AB01        │ true           │         4625 │       0 │    1269 │    2817 │    4146 │
│ AB02        │ false          │         1793 │      44 │    1393 │    1766 │    1793 │
│ AB02        │ true           │        32180 │       1 │    2105 │   11942 │   24078 │
│ AB03        │ false          │         7028 │     396 │    6409 │    6990 │    7028 │
│ AB03        │ true           │        10443 │      11 │    3850 │    8605 │   10292 │
│ AB04        │ false          │        20022 │    1691 │   17738 │   19962 │   20022 │
│ AB04        │ true           │        25513 │      17 │    8357 │   16663 │   21570 │
│ AB05        │ false          │       129296 │   12953 │  111473 │  127785 │  129296 │
│ AB05        │ true           │        27967 │      49 │    9060 │   19388 │   26905 │
