AA00,AA01,AA02,AA03,AA04,AA05,AA06,AA07,AA08,AA09,AA10,AA11,AA12,AA13,AAS1,AB01,AB02,AB03,AB04,AB05,AB1S,AB2S,BA01,BA05,BA08,BA09,BA10,BA13,BA16,BA17,BB00,BB01,BB02,BB03,BB04,BB05,BB07,BB08,BB10,BB11,BB12,BB13,BB14,BB15,BB16,BB17,BB1S,BB20,BB2S,BBS1,IC01,IC02,IC03,IC04,IC05,IC06,IC07,NANT,OP01,OP02,OP03,OP04,OP05,OP06,OP07,OP08,OP09,OP10,OP11,OP12,OP13,OP14,OP15,OP16,OP17,OP18,OP19,OP1S,OP20,OP21,OP22,OP23,OP24,OP25,OP26,OP27,OP28,OP29,OP30,OP31,OPS1,ZZ01,ZZ02,ZZ1S,ZZ2S,ZZS1,ZZS2
1.000000000000000000e+00,1.000000000000000000e+00,4.223999999999999977e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.800000000000001155e-01,7.744000000000000883e-01,6.143999999999999462e-01,1.120000000000000162e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.071999999999999731e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.120000000000000162e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.600000000000000894e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.120000000000000162e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.840000000000000357e-02,1.120000000000000162e-02,4.000000000000000083e-02,1.280000000000000061e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.199999999999999456e-02,3.200000000000000067e-02
1.000000000000000000e+00,8.800000000000001155e-01,2.800000000000000266e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.199999999999999289e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000533e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.800000000000001155e-01,4.800000000000000377e-01,3.200000000000000067e-01,1.008000000000000007e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,8.000000000000000167e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.600000000000000894e-03,9.600000000000000894e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000167e-03,0.000000000000000000e+00,8.000000000000000167e-03,0.000000000000000000e+00,4.800000000000000100e-02,9.600000000000000894e-03,2.879999999999999921e-02,9.600000000000000894e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.400000000000000799e-01,9.599999999999999645e-01,9.199999999999999289e-01,6.799999999999999378e-01,0.000000000000000000e+00,4.000000000000000083e-02,6.000000000000000888e-01,1.000000000000000000e+00,8.800000000000001155e-01,7.600000000000000089e-01,8.096000000000000973e-01,6.799999999999999378e-01,1.000000000000000000e+00,6.799999999999999378e-01,1.000000000000000000e+00,8.400000000000000799e-01,8.400000000000000799e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.599999999999999645e-01,1.000000000000000000e+00,9.199999999999999289e-01,7.199999999999999734e-01,0.000000000000000000e+00,6.000000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000091e-01,7.199999999999999456e-02
3.200000000000000067e-01,4.400000000000000022e-01,1.000000000000000000e+00,3.200000000000000067e-01,3.599999999999999867e-01,6.799999999999999378e-01,3.599999999999999867e-01,4.800000000000000377e-01,3.200000000000000067e-01,8.800000000000001155e-01,3.599999999999999867e-01,3.599999999999999867e-01,4.400000000000000022e-01,4.400000000000000022e-01,8.800000000000001155e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.200000000000000178e-01,4.000000000000000222e-01,3.599999999999999867e-01,1.000000000000000000e+00,4.400000000000000022e-01,0.000000000000000000e+00,2.000000000000000111e-01,3.839999999999999664e-02,3.360000000000000486e-02,8.000000000000000167e-02,3.200000000000000067e-02,0.000000000000000000e+00,3.039999999999999994e-02,4.000000000000000083e-02,2.399999999999999911e-01,4.000000000000000083e-02,4.000000000000000083e-02,0.000000000000000000e+00,3.360000000000000486e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-02,0.000000000000000000e+00,3.200000000000000067e-02,4.000000000000000083e-02,5.200000000000000178e-01,4.000000000000000083e-02,9.600000000000000200e-02,1.600000000000000033e-01,4.000000000000000083e-02,0.000000000000000000e+00,4.000000000000000083e-02,0.000000000000000000e+00,5.600000000000000533e-01,4.800000000000000377e-01,4.400000000000000022e-01,7.600000000000000089e-01,0.000000000000000000e+00,8.000000000000000167e-02,7.199999999999999734e-01,1.000000000000000000e+00,6.799999999999999378e-01,5.200000000000000178e-01,3.040000000000000480e-01,5.376000000000000778e-01,3.840000000000000080e-01,8.800000000000001155e-01,4.800000000000000377e-01,3.455999999999999628e-01,7.199999999999999734e-01,0.000000000000000000e+00,4.000000000000000083e-02,4.000000000000000083e-02,0.000000000000000000e+00,3.839999999999999664e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.920000000000000179e-02,4.000000000000000083e-02,0.000000000000000000e+00,3.200000000000000067e-01,6.400000000000000133e-01,2.400000000000000189e-01,6.400000000000000133e-01,8.000000000000000167e-03,6.799999999999999378e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01,1.680000000000000104e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000533e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.800000000000001155e-01,9.200000000000000400e-01,8.000000000000000444e-01,1.631999999999999840e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01,1.000000000000000000e+00,0.000000000000000000e+00,2.560000000000000123e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.280000000000000061e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.439999999999999961e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000810e-02,1.280000000000000061e-02,4.000000000000000083e-02,1.760000000000000106e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.800000000000000877e-02,5.600000000000000810e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.400000000000000022e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.800000000000001155e-01,8.400000000000000799e-01,6.400000000000000133e-01,1.568000000000000227e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.200000000000000067e-01,1.000000000000000000e+00,0.000000000000000000e+00,2.240000000000000324e-02,9.600000000000000894e-03,9.600000000000000894e-03,1.120000000000000162e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.120000000000000162e-02,2.240000000000000324e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.600000000000000894e-03,0.000000000000000000e+00,9.600000000000000894e-03,0.000000000000000000e+00,5.760000000000000536e-02,1.120000000000000162e-02,4.000000000000000083e-02,1.439999999999999961e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.600000000000000894e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000091e-01,6.400000000000000133e-02
1.000000000000000000e+00,8.800000000000001155e-01,2.800000000000000266e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.599999999999999645e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000533e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.800000000000001155e-01,4.800000000000000377e-01,3.200000000000000067e-01,1.008000000000000007e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000167e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000167e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.600000000000000894e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.800000000000000100e-02,0.000000000000000000e+00,2.879999999999999921e-02,9.600000000000000894e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.400000000000000799e-01,9.599999999999999645e-01,9.199999999999999289e-01,7.199999999999999734e-01,0.000000000000000000e+00,4.000000000000000083e-02,6.000000000000000888e-01,1.000000000000000000e+00,8.800000000000001155e-01,8.000000000000000444e-01,8.463999999999999302e-01,6.799999999999999378e-01,1.000000000000000000e+00,6.799999999999999378e-01,1.000000000000000000e+00,8.400000000000000799e-01,8.400000000000000799e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.599999999999999645e-01,1.000000000000000000e+00,9.199999999999999289e-01,7.199999999999999734e-01,0.000000000000000000e+00,6.000000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.120000000000000162e-01,7.199999999999999456e-02
1.000000000000000000e+00,7.600000000000000089e-01,2.400000000000000189e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+00,9.599999999999999645e-01,1.000000000000000000e+00,4.800000000000000377e-01,9.599999999999999645e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.599999999999999645e-01,8.800000000000001155e-01,4.400000000000000022e-01,2.800000000000000266e-01,1.008000000000000007e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.400000000000000189e-01,9.199999999999999289e-01,0.000000000000000000e+00,9.600000000000000894e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.600000000000000894e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.600000000000000894e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.800000000000000100e-02,0.000000000000000000e+00,2.719999999999999848e-02,9.600000000000000894e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.600000000000000089e-01,8.400000000000000799e-01,8.000000000000000444e-01,6.400000000000000133e-01,0.000000000000000000e+00,4.000000000000000083e-02,5.200000000000000178e-01,1.000000000000000000e+00,7.600000000000000089e-01,6.799999999999999378e-01,7.600000000000000089e-01,6.000000000000000888e-01,8.800000000000001155e-01,6.000000000000000888e-01,1.000000000000000000e+00,7.199999999999999734e-01,7.600000000000000089e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.400000000000000799e-01,1.000000000000000000e+00,8.000000000000000444e-01,6.400000000000000133e-01,0.000000000000000000e+00,5.200000000000000178e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000091e-01,7.199999999999999456e-02
1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.800000000000001155e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.207999999999999685e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.799999999999999378e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.760000000000000106e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.760000000000000106e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.080000000000000251e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.199999999999999456e-02,0.000000000000000000e+00,4.000000000000000083e-02,2.560000000000000123e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.800000000000000877e-02,5.600000000000000810e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.223999999999999977e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.800000000000001155e-01,7.728000000000001535e-01,5.760000000000000675e-01,1.120000000000000162e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.071999999999999731e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.120000000000000162e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.600000000000000894e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.120000000000000162e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.840000000000000357e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.280000000000000061e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.199999999999999456e-02,4.000000000000000777e-02
3.599999999999999867e-01,4.800000000000000377e-01,1.000000000000000000e+00,3.599999999999999867e-01,4.400000000000000022e-01,7.199999999999999734e-01,4.000000000000000222e-01,5.200000000000000178e-01,3.599999999999999867e-01,1.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01,4.800000000000000377e-01,4.800000000000000377e-01,8.800000000000001155e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.800000000000000266e-01,4.400000000000000022e-01,4.000000000000000222e-01,1.000000000000000000e+00,4.800000000000000377e-01,0.000000000000000000e+00,4.000000000000000083e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.824000000000000066e-01,0.000000000000000000e+00,3.520000000000000212e-02,4.000000000000000083e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000888e-01,5.200000000000000178e-01,4.800000000000000377e-01,8.400000000000000799e-01,0.000000000000000000e+00,4.000000000000000083e-02,8.000000000000000444e-01,1.000000000000000000e+00,7.199999999999999734e-01,5.600000000000000533e-01,3.871999999999999886e-01,6.000000000000000888e-01,4.400000000000000022e-01,9.599999999999999645e-01,5.200000000000000178e-01,4.000000000000000222e-01,7.600000000000000089e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,6.799999999999999378e-01,3.200000000000000067e-01,6.799999999999999378e-01,0.000000000000000000e+00,7.199999999999999734e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.280000000000000027e-01,8.000000000000001554e-02
